GRB	z	dhour	flux	fluxerr	filtold	filtnew
150423A	1.394	25.355	5.59	0.0	Zg	z*
150423A	1.394	4.155	27.76	0.0	Zg	z*
150424A	0.3	222.324	0.1119	0.02387	F125W	J
150424A	0.3	160.206	0.2997	0.02292	F125W	J
150424A	0.3	334.199	0.05555	0.02624	F125W	J
150424A	0.3	335.073	0.05406	0.02701	F160W	H
150424A	0.3	223.177	0.1741	0.02397	F160W	H
150424A	0.3	161.017	0.3474	0.02314	F160W	H
150424A	0.3	332.847	0.02395	0.009724	F606W	r*
150424A	0.3	159.286	0.1511	0.008585	F606W	r*
150424A	0.3	221.363	0.06299	0.008669	F606W	r*
150424A	0.3	66.3611	1.439	0.0	g*	g*
150424A	0.3	16.0842	7.833	0.2939	g*	g*
150424A	0.3	17.4014	6.885	0.1929	g*	g*
150424A	0.3	18.6881	6.337	0.2378	g*	g*
150424A	0.3	1.5567	19.49	0.5462	g*	g*
150424A	0.3	161.938	1.729	0.0	g*	g*
150424A	0.3	43.3675	1.862	0.1796	g*	g*
150424A	0.3	234.094	0.8278	0.0	g*	g*
150424A	0.3	89.7828	0.6279	0.0	g*	g*
150424A	0.3	114.38	0.4344	0.0	g*	g*
150424A	0.3	15.54	6.279	1.27	g*	g*
150424A	0.3	186.296	1.091	0.0	g*	g*
150424A	0.3	15.54	41.16	0.0	H	H
150424A	0.3	234.163	7.842	0.0	H	H
150424A	0.3	186.365	8.599	0.0	H	H
150424A	0.3	89.8142	9.428	0.0	H	H
150424A	0.3	66.3678	8.599	0.0	H	H
150424A	0.3	43.5017	8.599	0.0	H	H
150424A	0.3	114.386	5.949	0.0	H	H
150424A	0.3	16.0842	10.13	0.4774	i*	i*
150424A	0.3	17.4014	10.22	0.3836	i*	i*
150424A	0.3	21.295	8.425	0.7282	i*	i*
150424A	0.3	15.54	10.61	1.023	i*	i*
150424A	0.3	234.156	0.7338	0.0	i*	i*
150424A	0.3	18.715	8.986	0.4235	i*	i*
150424A	0.3	43.495	2.364	0.3006	i*	i*
150424A	0.3	66.3611	1.061	0.0	i*	i*
150424A	0.3	161.938	1.398	0.0	i*	i*
150424A	0.3	186.359	1.163	0.0	i*	i*
150424A	0.3	114.38	0.5566	0.0	i*	i*
150424A	0.3	89.7828	0.8822	0.0	i*	i*
150424A	0.3	234.163	4.14	0.0	J	J
150424A	0.3	186.365	5.458	0.0	J	J
150424A	0.3	333.6	0.06562	1.199e-08	J	J
150424A	0.3	160.8	0.2864	2.336e-07	J	J
150424A	0.3	114.386	4.14	0.0	J	J
150424A	0.3	89.8142	6.562	0.0	J	J
150424A	0.3	15.54	26.12	15.28	J	J
150424A	0.3	66.3678	5.985	0.0	J	J
150424A	0.3	16.0914	15.31	2.928	J	J
150424A	0.3	17.4083	12.28	2.348	J	J
150424A	0.3	18.7219	10.59	2.499	J	J
150424A	0.3	43.5017	5.458	0.0	J	J
150424A	0.3	43.565	23.62	0.0	Ks	K
150424A	0.3	66.3678	37.43	0.0	Ks	K
150424A	0.3	89.7894	41.04	0.0	Ks	K
150424A	0.3	114.386	25.9	0.0	Ks	K
150424A	0.3	186.365	23.62	0.0	Ks	K
150424A	0.3	234.289	16.34	0.0	Ks	K
150424A	0.3	13.2	17.55	0.9969	R	R
150424A	0.3	1.6	32.52	10.35	R	R
150424A	0.3	186.359	0.8919	0.0	r*	r*
150424A	0.3	234.156	0.6171	0.0	r*	r*
150424A	0.3	161.938	1.072	0.0	r*	r*
150424A	0.3	15.54	8.919	0.8605	r*	r*
150424A	0.3	114.38	0.3893	0.0	r*	r*
150424A	0.3	89.7828	1.053	0.2365	r*	r*
150424A	0.3	66.3611	0.6766	0.0	r*	r*
150424A	0.3	43.495	2.282	0.152	r*	r*
150424A	0.3	21.295	6.642	0.7082	r*	r*
150424A	0.3	18.6881	7.419	0.2078	r*	r*
150424A	0.3	17.4014	8.919	0.2499	r*	r*
150424A	0.3	16.0842	9.34	0.2617	r*	r*
150424A	0.3	1.56	21.16	0.7942	Rc	R
150424A	0.3	4.4906	25.22	0.0	uvb	B
150424A	0.3	35.9467	20.98	0.0	uvb	B
150424A	0.3	0.1844	110.1	0.0	uvb	B
150424A	0.3	1.6344	27.15	7.029	uvb	B
150424A	0.3	1.0094	17.45	0.0	uvb	B
150424A	0.3	4.4906	15.91	0.0	uvb	B
150424A	0.3	0.2117	99.97	0.0	uvm2	uvm2
150424A	0.3	1.4636	14.45	0.0	uvm2	uvm2
150424A	0.3	0.9378	9.117	0.0	uvm2	uvm2
150424A	0.3	48.1072	5.246	0.0	uvm2	uvm2
150424A	0.3	20.1128	7.583	0.0	uvm2	uvm2
150424A	0.3	143.458	4.364	0.0	uvm2	uvm2
150424A	0.3	340.146	4.785	0.0	uvm2	uvm2
150424A	0.3	0.9456	17.49	2.964	uvu	uvu
150424A	0.3	0.8019	19.35	0.0	uvu	uvu
150424A	0.3	0.1211	12.21	0.0	uvu	uvu
150424A	0.3	387.388	5.844	0.0	uvu	uvu
150424A	0.3	12.6642	12.21	0.0	uvu	uvu
150424A	0.3	1.7767	24.14	5.695	uvu	uvu
150424A	0.3	220.91	12.21	0.0	uvu	uvu
150424A	0.3	51.5578	19.35	0.0	uvu	uvu
150424A	0.3	27.6	16.1	0.0	uvu	uvu
150424A	0.3	3.355	43.06	0.0	uvv	V
150424A	0.3	1.2075	89.97	0.0	uvv	V
150424A	0.3	0.9058	47.22	0.0	uvv	V
150424A	0.3	1.6061	56.77	0.0	uvv	V
150424A	0.3	0.205	247.8	0.0	uvv	V
150424A	0.3	0.0228	392.8	0.0	uvv	V
150424A	0.3	9.6503	43.06	0.0	uvv	V
150424A	0.3	44.6922	43.06	0.0	uvv	V
150424A	0.3	5.6375	35.82	0.0	uvv	V
150424A	0.3	25.7381	6.013	0.0	uvw1	uvw1
150424A	0.3	364.036	3.794	0.0	uvw1	uvw1
150424A	0.3	0.7703	18.16	0.0	uvw1	uvw1
150424A	0.3	4.9817	12.92	2.47	uvw1	uvw1
150424A	0.3	11.7344	5.484	0.0	uvw1	uvw1
150424A	0.3	49.4342	7.927	0.0	uvw1	uvw1
150424A	0.3	207.41	4.562	0.0	uvw1	uvw1
150424A	0.3	0.8739	7.391	0.0	uvw2	uvw2
150424A	0.3	0.9303	14.08	0.0	uvw2	uvw2
150424A	0.3	359.838	2.232	0.0	uvw2	uvw2
150424A	0.3	0.1983	56.07	0.0	uvw2	uvw2
150424A	0.3	59.8933	4.253	0.0	uvw2	uvw2
